t=2025-06-27T10:26:09+0100 lvl=info msg="no configuration paths supplied"
t=2025-06-27T10:26:09+0100 lvl=info msg="using configuration at default config path" path="/Users/bamikaleamupitan/Library/Application Support/ngrok/ngrok.yml"
t=2025-06-27T10:26:09+0100 lvl=info msg="open config file" path="/Users/bamikaleamupitan/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-06-27T10:26:09+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-06-27T10:26:09+0100 lvl=info msg="client session established" obj=tunnels.session
t=2025-06-27T10:26:09+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-06-27T10:26:10+0100 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://f9f4-2c0f-f5c0-620-a126-48a8-64ff-4339-4a51.ngrok-free.app
t=2025-06-27T10:26:10+0100 lvl=info msg="update available" obj=updater
t=2025-06-27T10:26:22+0100 lvl=info msg=start pg=/api/tunnels id=d85d78cbc3ed78ab
t=2025-06-27T10:26:22+0100 lvl=info msg=end pg=/api/tunnels id=d85d78cbc3ed78ab status=200 dur=422.584µs
t=2025-06-27T10:38:44+0100 lvl=info msg="join connections" obj=join id=7f1f971f2f75 l=[::1]:3000 r=87.249.132.153:59858
t=2025-06-27T10:38:46+0100 lvl=info msg="join connections" obj=join id=13a6c81a154e l=[::1]:3000 r=87.249.132.153:35572
t=2025-06-27T10:38:47+0100 lvl=info msg="join connections" obj=join id=2542218db588 l=[::1]:3000 r=87.249.132.153:59858
t=2025-06-27T10:38:47+0100 lvl=info msg="join connections" obj=join id=42602dfa05d8 l=[::1]:3000 r=87.249.132.153:59858
t=2025-06-27T10:38:47+0100 lvl=info msg="join connections" obj=join id=2e66df1ddc38 l=[::1]:3000 r=87.249.132.153:35574
t=2025-06-27T10:38:47+0100 lvl=info msg="join connections" obj=join id=aa26c0890d94 l=[::1]:3000 r=87.249.132.153:35574
t=2025-06-27T10:38:47+0100 lvl=info msg="join connections" obj=join id=ac59ecf0298f l=[::1]:3000 r=87.249.132.153:35184
t=2025-06-27T10:38:49+0100 lvl=info msg="join connections" obj=join id=96299f6e6821 l=[::1]:3000 r=87.249.132.153:59858
t=2025-06-27T10:38:51+0100 lvl=info msg="join connections" obj=join id=b1cf5f59da6e l=[::1]:3000 r=87.249.132.153:59858
t=2025-06-27T10:38:52+0100 lvl=info msg="join connections" obj=join id=189a8545a7c8 l=[::1]:3000 r=87.249.132.153:44478
t=2025-06-27T10:38:52+0100 lvl=info msg="join connections" obj=join id=034e70348c1b l=[::1]:3000 r=87.249.132.153:44478
t=2025-06-27T10:38:52+0100 lvl=info msg="join connections" obj=join id=98835f5cbd2d l=[::1]:3000 r=87.249.132.153:44484
t=2025-06-27T10:38:53+0100 lvl=info msg="join connections" obj=join id=760597e7b9a6 l=[::1]:3000 r=87.249.132.153:59858
t=2025-06-27T10:38:55+0100 lvl=info msg="join connections" obj=join id=8cdbaa2282e2 l=[::1]:3000 r=87.249.132.153:44492
t=2025-06-27T10:38:55+0100 lvl=info msg="join connections" obj=join id=85818b5800c6 l=[::1]:3000 r=87.249.132.153:59858
t=2025-06-27T10:38:57+0100 lvl=info msg="join connections" obj=join id=bc366b8d1608 l=[::1]:3000 r=87.249.132.153:53774
t=2025-06-27T10:38:57+0100 lvl=info msg="join connections" obj=join id=0984946f98f5 l=[::1]:3000 r=87.249.132.153:53774
t=2025-06-27T10:38:58+0100 lvl=info msg="join connections" obj=join id=b5f3973e29ea l=[::1]:3000 r=87.249.132.153:53774
t=2025-06-27T10:38:58+0100 lvl=info msg="join connections" obj=join id=88a6ef0d645e l=[::1]:3000 r=87.249.132.153:42626
t=2025-06-27T10:38:58+0100 lvl=info msg="join connections" obj=join id=a16e32b66c30 l=[::1]:3000 r=87.249.132.153:42620
t=2025-06-27T10:38:58+0100 lvl=info msg="join connections" obj=join id=362b31dd00fe l=[::1]:3000 r=87.249.132.153:42620
t=2025-06-27T10:39:00+0100 lvl=info msg="join connections" obj=join id=cc1dd16e1301 l=[::1]:3000 r=87.249.132.153:53774
t=2025-06-27T10:39:01+0100 lvl=info msg="join connections" obj=join id=15ddc921a3ad l=[::1]:3000 r=87.249.132.153:53774
t=2025-06-27T10:39:02+0100 lvl=info msg="join connections" obj=join id=8fa6b0f6dfef l=[::1]:3000 r=87.249.132.153:47892
t=2025-06-27T10:39:02+0100 lvl=info msg="join connections" obj=join id=01fc5b371f45 l=[::1]:3000 r=87.249.132.153:47876
t=2025-06-27T10:39:02+0100 lvl=info msg="join connections" obj=join id=e148cf4ec7b0 l=[::1]:3000 r=87.249.132.153:47876
t=2025-06-27T10:39:04+0100 lvl=info msg="join connections" obj=join id=3215f895a7c9 l=[::1]:3000 r=87.249.132.153:53774
t=2025-06-27T10:39:05+0100 lvl=info msg="join connections" obj=join id=80308a7f107d l=[::1]:3000 r=87.249.132.153:55056
t=2025-06-27T10:39:05+0100 lvl=info msg="join connections" obj=join id=39047476a9fe l=[::1]:3000 r=87.249.132.153:53774
t=2025-06-27T10:39:07+0100 lvl=info msg="join connections" obj=join id=6a89fd4e0fc0 l=[::1]:3000 r=87.249.132.153:55060
t=2025-06-27T10:39:08+0100 lvl=info msg="join connections" obj=join id=adf15cd7b911 l=[::1]:3000 r=87.249.132.153:55060
t=2025-06-27T10:39:08+0100 lvl=info msg="join connections" obj=join id=1033c86860c4 l=[::1]:3000 r=87.249.132.153:55060
t=2025-06-27T10:39:08+0100 lvl=info msg="join connections" obj=join id=fa936660aade l=[::1]:3000 r=87.249.132.153:39574
t=2025-06-27T10:39:08+0100 lvl=info msg="join connections" obj=join id=2cf2df17eb5e l=[::1]:3000 r=87.249.132.153:39574
t=2025-06-27T10:39:08+0100 lvl=info msg="join connections" obj=join id=14829c141fa8 l=[::1]:3000 r=87.249.132.153:39560
t=2025-06-27T10:39:10+0100 lvl=info msg="join connections" obj=join id=587c6951d599 l=[::1]:3000 r=87.249.132.153:55060
t=2025-06-27T10:39:11+0100 lvl=info msg="join connections" obj=join id=0f7498b23631 l=[::1]:3000 r=87.249.132.153:59920
t=2025-06-27T10:39:13+0100 lvl=info msg="join connections" obj=join id=4ad0a66d72ce l=[::1]:3000 r=87.249.132.153:55060
t=2025-06-27T10:39:13+0100 lvl=info msg="join connections" obj=join id=a9e797646053 l=[::1]:3000 r=87.249.132.153:33094
t=2025-06-27T10:39:13+0100 lvl=info msg="join connections" obj=join id=d951b16c07cb l=[::1]:3000 r=87.249.132.153:33094
t=2025-06-27T10:39:13+0100 lvl=info msg="join connections" obj=join id=460542197674 l=[::1]:3000 r=87.249.132.153:33106
t=2025-06-27T10:39:15+0100 lvl=info msg="join connections" obj=join id=bde29d9bac39 l=[::1]:3000 r=87.249.132.153:55060
t=2025-06-27T10:39:16+0100 lvl=info msg="join connections" obj=join id=849bc510688c l=[::1]:3000 r=87.249.132.153:33118
t=2025-06-27T10:39:17+0100 lvl=info msg="join connections" obj=join id=4714f6cb0345 l=[::1]:3000 r=87.249.132.153:55060
t=2025-06-27T10:39:17+0100 lvl=info msg="join connections" obj=join id=d7b70c9d8e02 l=[::1]:3000 r=87.249.132.153:59930
t=2025-06-27T10:39:17+0100 lvl=info msg="join connections" obj=join id=0c46f2642261 l=[::1]:3000 r=87.249.132.153:59946
t=2025-06-27T10:39:17+0100 lvl=info msg="join connections" obj=join id=da5eb82a7190 l=[::1]:3000 r=87.249.132.153:59946
t=2025-06-27T10:39:19+0100 lvl=info msg="join connections" obj=join id=e0a57ca574e1 l=[::1]:3000 r=87.249.132.153:55060
t=2025-06-27T10:39:20+0100 lvl=info msg="join connections" obj=join id=1a628ae3b374 l=[::1]:3000 r=87.249.132.153:46790
t=2025-06-27T10:39:21+0100 lvl=info msg="join connections" obj=join id=9ecb02620a38 l=[::1]:3000 r=87.249.132.153:55060
t=2025-06-27T10:39:23+0100 lvl=info msg="join connections" obj=join id=4322521be2a1 l=[::1]:3000 r=87.249.132.153:55060
t=2025-06-27T10:39:24+0100 lvl=info msg="join connections" obj=join id=c2f911103e3d l=[::1]:3000 r=87.249.132.153:35964
t=2025-06-27T10:39:25+0100 lvl=info msg="join connections" obj=join id=128d2c36cb9d l=[::1]:3000 r=87.249.132.153:55060
t=2025-06-27T10:39:27+0100 lvl=info msg="join connections" obj=join id=180261035ef6 l=[::1]:3000 r=87.249.132.153:35968
t=2025-06-27T10:39:27+0100 lvl=info msg="join connections" obj=join id=562c37ff6120 l=[::1]:3000 r=87.249.132.153:35968
t=2025-06-27T10:39:28+0100 lvl=info msg="join connections" obj=join id=8af93b30d4d4 l=[::1]:3000 r=87.249.132.153:35968
t=2025-06-27T10:39:28+0100 lvl=info msg="join connections" obj=join id=d0d47ac28527 l=[::1]:3000 r=87.249.132.153:43678
t=2025-06-27T10:39:28+0100 lvl=info msg="join connections" obj=join id=0d4538cbc63b l=[::1]:3000 r=87.249.132.153:43678
t=2025-06-27T10:39:28+0100 lvl=info msg="join connections" obj=join id=4913ca5aaf1a l=[::1]:3000 r=87.249.132.153:43684
t=2025-06-27T10:39:29+0100 lvl=info msg="join connections" obj=join id=a603b65ec3c5 l=[::1]:3000 r=87.249.132.153:35968
t=2025-06-27T10:39:32+0100 lvl=info msg="join connections" obj=join id=3851b8b48e5a l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:32+0100 lvl=info msg="join connections" obj=join id=62db5518f22c l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:32+0100 lvl=info msg="join connections" obj=join id=239e55ae41dc l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:33+0100 lvl=info msg="join connections" obj=join id=74bb52b0d9ca l=[::1]:3000 r=87.249.132.153:48734
t=2025-06-27T10:39:33+0100 lvl=info msg="join connections" obj=join id=c65bb5228fce l=[::1]:3000 r=87.249.132.153:48734
t=2025-06-27T10:39:33+0100 lvl=info msg="join connections" obj=join id=3fdc1ab5ec50 l=[::1]:3000 r=87.249.132.153:48738
